step,reward,seed,drd
0,-152.25071716308594,8270,无责任分发
2400,-80.46162414550781,8270,无责任分发
4800,-596.5610961914062,8270,无责任分发
7200,-498901.3125,8270,无责任分发
9600,-87467.0234375,8270,无责任分发
12000,-313.5816650390625,8270,无责任分发
14400,-95974.6640625,8270,无责任分发
16800,-469.5184631347656,8270,无责任分发
19200,-202.45755004882812,8270,无责任分发
21600,-412.89532470703125,8270,无责任分发
24000,-376.6685485839844,8270,无责任分发
26400,-406.1451110839844,8270,无责任分发
28800,-409.879638671875,8270,无责任分发
31200,-586.7384643554688,8270,无责任分发
33600,-624.3432006835938,8270,无责任分发
36000,-598.1642456054688,8270,无责任分发
38400,-1256.6363525390625,8270,无责任分发
40800,-1124.4619140625,8270,无责任分发
43200,-1637.7633056640625,8270,无责任分发
45600,-1568.7259521484375,8270,无责任分发
48000,-1456.661376953125,8270,无责任分发
0,-162.87205505371094,8270,有责任分发
2400,-22.02105712890625,8270,有责任分发
4800,-25.549558639526367,8270,有责任分发
7200,-25.645727157592773,8270,有责任分发
9600,-22.952054977416992,8270,有责任分发
12000,-23.242143630981445,8270,有责任分发
14400,-22.704708099365234,8270,有责任分发
16800,-20.90903663635254,8270,有责任分发
19200,-28.350101470947266,8270,有责任分发
21600,-21.104150772094727,8270,有责任分发
24000,-25.07381248474121,8270,有责任分发
26400,-24.414621353149414,8270,有责任分发
28800,-23.67304801940918,8270,有责任分发
31200,-21.898420333862305,8270,有责任分发
33600,-20.669864654541016,8270,有责任分发
36000,-21.168405532836914,8270,有责任分发
38400,-22.832874298095703,8270,有责任分发
40800,-21.35792350769043,8270,有责任分发
43200,-21.53255844116211,8270,有责任分发
45600,-20.297353744506836,8270,有责任分发
48000,-22.337970733642578,8270,有责任分发
0,-31.472898483276367,1860,无责任分发
2400,-159.15208435058594,1860,无责任分发
4800,-498071.21875,1860,无责任分发
7200,-1244.7943115234375,1860,无责任分发
9600,-292863.96875,1860,无责任分发
12000,-492050.34375,1860,无责任分发
14400,-496207.75,1860,无责任分发
16800,-2247.642333984375,1860,无责任分发
19200,-498597.25,1860,无责任分发
21600,-10804.5732421875,1860,无责任分发
24000,-1876.6998291015625,1860,无责任分发
26400,-822.8817749023438,1860,无责任分发
28800,-573.8327026367188,1860,无责任分发
31200,-694.2764282226562,1860,无责任分发
33600,-490.524658203125,1860,无责任分发
36000,-534.904296875,1860,无责任分发
38400,-748.5717163085938,1860,无责任分发
40800,-497.68017578125,1860,无责任分发
43200,-583.0377807617188,1860,无责任分发
45600,-662.766845703125,1860,无责任分发
48000,-767.6586303710938,1860,无责任分发
0,-39.50212478637695,1860,有责任分发
2400,-27.89898681640625,1860,有责任分发
4800,-24.945539474487305,1860,有责任分发
7200,-23.56867790222168,1860,有责任分发
9600,-22.808027267456055,1860,有责任分发
12000,-23.394498825073242,1860,有责任分发
14400,-27.993619918823242,1860,有责任分发
16800,-22.69554901123047,1860,有责任分发
19200,-24.81093406677246,1860,有责任分发
21600,-26.814245223999023,1860,有责任分发
24000,-23.10896110534668,1860,有责任分发
26400,-23.760555267333984,1860,有责任分发
28800,-21.467313766479492,1860,有责任分发
31200,-23.418254852294922,1860,有责任分发
33600,-23.28413963317871,1860,有责任分发
36000,-20.03065299987793,1860,有责任分发
38400,-20.636167526245117,1860,有责任分发
40800,-20.283645629882812,1860,有责任分发
43200,-23.829809188842773,1860,有责任分发
45600,-22.20655632019043,1860,有责任分发
48000,-24.914403915405273,1860,有责任分发
0,-499250.75,6390,无责任分发
2400,-23.831815719604492,6390,无责任分发
4800,-92.34883880615234,6390,无责任分发
7200,-186.39108276367188,6390,无责任分发
9600,-281.3717956542969,6390,无责任分发
12000,-3677.401611328125,6390,无责任分发
14400,-22285.796875,6390,无责任分发
16800,-1332.200927734375,6390,无责任分发
19200,-828.4159545898438,6390,无责任分发
21600,-858.4174194335938,6390,无责任分发
24000,-903.0729370117188,6390,无责任分发
26400,-1181.505615234375,6390,无责任分发
28800,-1596.6951904296875,6390,无责任分发
31200,-2562.84033203125,6390,无责任分发
33600,-1923.983642578125,6390,无责任分发
36000,-2259.010498046875,6390,无责任分发
38400,-444.5870056152344,6390,无责任分发
40800,-967.5560913085938,6390,无责任分发
43200,-1030.7652587890625,6390,无责任分发
45600,-682.6923217773438,6390,无责任分发
48000,-749.8428955078125,6390,无责任分发
0,-404659.84375,6390,有责任分发
2400,-25.753732681274414,6390,有责任分发
4800,-23.547582626342773,6390,有责任分发
7200,-24.9228572845459,6390,有责任分发
9600,-24.2978572845459,6390,有责任分发
12000,-20.167409896850586,6390,有责任分发
