step,reward,seed,drd
0,-13.316261291503906,8270,无责任分发
2400,-10.921443939208984,8270,无责任分发
4800,-12.859145164489746,8270,无责任分发
7200,-10.509614944458008,8270,无责任分发
9600,-10.598817825317383,8270,无责任分发
12000,-10.277289390563965,8270,无责任分发
14400,-10.26830005645752,8270,无责任分发
16800,-10.247184753417969,8270,无责任分发
19200,-10.987107276916504,8270,无责任分发
21600,-10.314997673034668,8270,无责任分发
24000,-13.30170726776123,8270,无责任分发
26400,-9.180399894714355,8270,无责任分发
28800,-10.171038627624512,8270,无责任分发
31200,-11.557107925415039,8270,无责任分发
33600,-11.450551986694336,8270,无责任分发
36000,-11.165738105773926,8270,无责任分发
38400,-15.871298789978027,8270,无责任分发
40800,-27.787738800048828,8270,无责任分发
43200,-12.35349178314209,8270,无责任分发
45600,-11.701862335205078,8270,无责任分发
48000,-12.931736946105957,8270,无责任分发
0,-17.221694946289062,8270,有责任分发
2400,-9.468214988708496,8270,有责任分发
4800,-10.073163032531738,8270,有责任分发
7200,-9.693500518798828,8270,有责任分发
9600,-8.627106666564941,8270,有责任分发
12000,-9.215354919433594,8270,有责任分发
14400,-10.584249496459961,8270,有责任分发
16800,-7.713430881500244,8270,有责任分发
19200,-11.917720794677734,8270,有责任分发
21600,-9.356091499328613,8270,有责任分发
24000,-10.569353103637695,8270,有责任分发
26400,-9.82136344909668,8270,有责任分发
28800,-12.32823371887207,8270,有责任分发
31200,-9.188708305358887,8270,有责任分发
33600,-8.880533218383789,8270,有责任分发
36000,-9.53996467590332,8270,有责任分发
38400,-9.573877334594727,8270,有责任分发
40800,-8.779891014099121,8270,有责任分发
43200,-9.389963150024414,8270,有责任分发
45600,-8.68127727508545,8270,有责任分发
48000,-8.88439655303955,8270,有责任分发
0,-15.337201118469238,1860,无责任分发
2400,-12.047141075134277,1860,无责任分发
4800,-199.06260681152344,1860,无责任分发
7200,-293.8995056152344,1860,无责任分发
9600,-16.568931579589844,1860,无责任分发
12000,-16.16939353942871,1860,无责任分发
14400,-18.025754928588867,1860,无责任分发
16800,-18.8559627532959,1860,无责任分发
19200,-37.389137268066406,1860,无责任分发
21600,-12.467955589294434,1860,无责任分发
24000,-253.38198852539062,1860,无责任分发
26400,-15.13773250579834,1860,无责任分发
28800,-12.002646446228027,1860,无责任分发
31200,-9.98136043548584,1860,无责任分发
33600,-12.284454345703125,1860,无责任分发
36000,-51.808380126953125,1860,无责任分发
38400,-37.364803314208984,1860,无责任分发
40800,-12.722025871276855,1860,无责任分发
43200,-19.73679542541504,1860,无责任分发
45600,-11.023953437805176,1860,无责任分发
48000,-11.21794319152832,1860,无责任分发
0,-19.434019088745117,1860,有责任分发
2400,-11.077498435974121,1860,有责任分发
4800,-9.633978843688965,1860,有责任分发
7200,-8.813393592834473,1860,有责任分发
9600,-10.580734252929688,1860,有责任分发
12000,-9.229011535644531,1860,有责任分发
14400,-11.613652229309082,1860,有责任分发
16800,-8.804970741271973,1860,有责任分发
19200,-9.720142364501953,1860,有责任分发
21600,-11.103862762451172,1860,有责任分发
24000,-10.644814491271973,1860,有责任分发
26400,-9.946288108825684,1860,有责任分发
28800,-8.854501724243164,1860,有责任分发
31200,-10.088934898376465,1860,有责任分发
33600,-10.3246431350708,1860,有责任分发
36000,-8.44013500213623,1860,有责任分发
38400,-8.711664199829102,1860,有责任分发
40800,-8.939520835876465,1860,有责任分发
43200,-10.04510498046875,1860,有责任分发
45600,-8.636523246765137,1860,有责任分发
48000,-9.96818733215332,1860,有责任分发
0,-467565.59375,6390,无责任分发
2400,-6.468888759613037,6390,无责任分发
4800,-398477.0625,6390,无责任分发
7200,-66.76021575927734,6390,无责任分发
9600,-17.473840713500977,6390,无责任分发
12000,-11.727218627929688,6390,无责任分发
14400,-13.122836112976074,6390,无责任分发
16800,-12.608748435974121,6390,无责任分发
19200,-11.911142349243164,6390,无责任分发
21600,-14.751626968383789,6390,无责任分发
24000,-15.149176597595215,6390,无责任分发
26400,-13.377471923828125,6390,无责任分发
28800,-10.65017318725586,6390,无责任分发
31200,-10.994502067565918,6390,无责任分发
33600,-10.44528865814209,6390,无责任分发
36000,-15.4369535446167,6390,无责任分发
38400,-36.74443054199219,6390,无责任分发
40800,-10.93439769744873,6390,无责任分发
43200,-12.232413291931152,6390,无责任分发
45600,-11.052391052246094,6390,无责任分发
48000,-11.518282890319824,6390,无责任分发
0,-437036.46875,6390,有责任分发
2400,-10.134230613708496,6390,有责任分发
4800,-8.207672119140625,6390,有责任分发
7200,-9.904463768005371,6390,有责任分发
9600,-9.842329978942871,6390,有责任分发
12000,-8.110605239868164,6390,有责任分发
14400,-10.207030296325684,6390,有责任分发
16800,-8.667853355407715,6390,有责任分发
19200,-8.820149421691895,6390,有责任分发
21600,-9.92418098449707,6390,有责任分发
24000,-11.650053977966309,6390,有责任分发
26400,-9.265049934387207,6390,有责任分发
28800,-8.314581871032715,6390,有责任分发
31200,-10.587949752807617,6390,有责任分发
33600,-8.786763191223145,6390,有责任分发
36000,-7.626469612121582,6390,有责任分发
38400,-9.344100952148438,6390,有责任分发
40800,-10.017840385437012,6390,有责任分发
43200,-9.619684219360352,6390,有责任分发
45600,-10.163687705993652,6390,有责任分发
48000,-10.242059707641602,6390,有责任分发
0,-44.32210922241211,6191,无责任分发
2400,-15.773772239685059,6191,无责任分发
4800,-275.28106689453125,6191,无责任分发
7200,-158.0403594970703,6191,无责任分发
9600,-16.457128524780273,6191,无责任分发
12000,-10.448535919189453,6191,无责任分发
14400,-9.984016418457031,6191,无责任分发
16800,-9.765311241149902,6191,无责任分发
19200,-11.123006820678711,6191,无责任分发
21600,-13.832615852355957,6191,无责任分发
24000,-15.929519653320312,6191,无责任分发
26400,-27.69146156311035,6191,无责任分发
28800,-11.057299613952637,6191,无责任分发
31200,-10.892181396484375,6191,无责任分发
33600,-12.725824356079102,6191,无责任分发
36000,-10.78298568725586,6191,无责任分发
38400,-10.006834030151367,6191,无责任分发
40800,-9.711440086364746,6191,无责任分发
43200,-11.640449523925781,6191,无责任分发
45600,-12.92871379852295,6191,无责任分发
48000,-11.682696342468262,6191,无责任分发
0,-46.95802688598633,6191,有责任分发
2400,-9.79870319366455,6191,有责任分发
4800,-9.891694068908691,6191,有责任分发
7200,-9.41456127166748,6191,有责任分发
9600,-9.91649341583252,6191,有责任分发
12000,-10.620828628540039,6191,有责任分发
14400,-10.150232315063477,6191,有责任分发
16800,-8.309000015258789,6191,有责任分发
19200,-8.518542289733887,6191,有责任分发
21600,-9.617413520812988,6191,有责任分发
24000,-10.405038833618164,6191,有责任分发
26400,-9.063549041748047,6191,有责任分发
28800,-9.97177791595459,6191,有责任分发
31200,-9.273890495300293,6191,有责任分发
33600,-8.984030723571777,6191,有责任分发
36000,-11.59915828704834,6191,有责任分发
