scenario,window,run_id,evaluation_protocol,evaluation_rng_snapshot,rmse_global_run,rmse_local_day2_run,C_I,N_test,N_iso,C_Q,score,log_score,score_overflow,legacy_ensemble_rmse,rl_window,checkpoint_sha256,actor_sha256,state_norm_sha256
high,14,0,f858_historical_rng_aligned,C:\Users\Asus\PycharmProjects\UNCERTAIN_EPC_RL_V3\revision_outputs\revision_v8_historical_eval_aligned_window_ablation\rng_snapshots\high_pre_decoupled_eval_rng.pkl,15.784561381343476,0.02176854451665617,577.51220703125,3304714.75,530.1279296875,41839.0625,4.693437158954057,1.5461651837533341,False,13.359569977899024,3,9b580ae0bc45724b04d128f0fdb27f4fae56dab449c836fa44f29e93046d7dfa,be7de516b96323cbcbb9766ddc8eb0f6a1e5ec02bf6a0b0cf4761dc48b6a4cd3,631cf9dc2fd297d503022cb939793429663b550dbd8ddc9e6fe1cacb53541501
high,14,1,f858_historical_rng_aligned,C:\Users\Asus\PycharmProjects\UNCERTAIN_EPC_RL_V3\revision_outputs\revision_v8_historical_eval_aligned_window_ablation\rng_snapshots\high_pre_decoupled_eval_rng.pkl,15.365406643317817,0.02573692303299601,609.1450805664062,3313118.5,553.7947998046875,41967.7734375,4.730951525309504,1.5541263504137883,False,13.359569977899024,3,9b580ae0bc45724b04d128f0fdb27f4fae56dab449c836fa44f29e93046d7dfa,be7de516b96323cbcbb9766ddc8eb0f6a1e5ec02bf6a0b0cf4761dc48b6a4cd3,631cf9dc2fd297d503022cb939793429663b550dbd8ddc9e6fe1cacb53541501
high,14,2,f858_historical_rng_aligned,C:\Users\Asus\PycharmProjects\UNCERTAIN_EPC_RL_V3\revision_outputs\revision_v8_historical_eval_aligned_window_ablation\rng_snapshots\high_pre_decoupled_eval_rng.pkl,14.596386725604463,0.024398188908614733,601.867431640625,3375414.25,550.6148681640625,42743.29296875,4.799306423119201,1.5684714122899106,False,13.359569977899024,3,9b580ae0bc45724b04d128f0fdb27f4fae56dab449c836fa44f29e93046d7dfa,be7de516b96323cbcbb9766ddc8eb0f6a1e5ec02bf6a0b0cf4761dc48b6a4cd3,631cf9dc2fd297d503022cb939793429663b550dbd8ddc9e6fe1cacb53541501
high,14,3,f858_historical_rng_aligned,C:\Users\Asus\PycharmProjects\UNCERTAIN_EPC_RL_V3\revision_outputs\revision_v8_historical_eval_aligned_window_ablation\rng_snapshots\high_pre_decoupled_eval_rng.pkl,15.677421177853661,0.02557372274526159,591.1710815429688,3406592.25,542.284912109375,43124.6875,4.827830370845069,1.5743971681617732,False,13.359569977899024,3,9b580ae0bc45724b04d128f0fdb27f4fae56dab449c836fa44f29e93046d7dfa,be7de516b96323cbcbb9766ddc8eb0f6a1e5ec02bf6a0b0cf4761dc48b6a4cd3,631cf9dc2fd297d503022cb939793429663b550dbd8ddc9e6fe1cacb53541501
high,14,4,f858_historical_rng_aligned,C:\Users\Asus\PycharmProjects\UNCERTAIN_EPC_RL_V3\revision_outputs\revision_v8_historical_eval_aligned_window_ablation\rng_snapshots\high_pre_decoupled_eval_rng.pkl,15.260301639145565,0.021888766740341542,579.3206787109375,3441623.5,531.6809692382812,43551.97265625,4.860437139438833,1.5811283802540599,False,13.359569977899024,3,9b580ae0bc45724b04d128f0fdb27f4fae56dab449c836fa44f29e93046d7dfa,be7de516b96323cbcbb9766ddc8eb0f6a1e5ec02bf6a0b0cf4761dc48b6a4cd3,631cf9dc2fd297d503022cb939793429663b550dbd8ddc9e6fe1cacb53541501
high,14,5,f858_historical_rng_aligned,C:\Users\Asus\PycharmProjects\UNCERTAIN_EPC_RL_V3\revision_outputs\revision_v8_historical_eval_aligned_window_ablation\rng_snapshots\high_pre_decoupled_eval_rng.pkl,16.285283896694,0.026473322160286153,571.0718383789062,3658268.5,531.0528564453125,46259.41015625,5.1326738045518905,1.6356267328645102,False,13.359569977899024,3,9b580ae0bc45724b04d128f0fdb27f4fae56dab449c836fa44f29e93046d7dfa,be7de516b96323cbcbb9766ddc8eb0f6a1e5ec02bf6a0b0cf4761dc48b6a4cd3,631cf9dc2fd297d503022cb939793429663b550dbd8ddc9e6fe1cacb53541501
high,14,6,f858_historical_rng_aligned,C:\Users\Asus\PycharmProjects\UNCERTAIN_EPC_RL_V3\revision_outputs\revision_v8_historical_eval_aligned_window_ablation\rng_snapshots\high_pre_decoupled_eval_rng.pkl,16.08652906043415,0.02337748786143894,556.8505859375,3356338.5,517.99267578125,42472.22265625,4.737380077713523,1.5554842566767613,False,13.359569977899024,3,9b580ae0bc45724b04d128f0fdb27f4fae56dab449c836fa44f29e93046d7dfa,be7de516b96323cbcbb9766ddc8eb0f6a1e5ec02bf6a0b0cf4761dc48b6a4cd3,631cf9dc2fd297d503022cb939793429663b550dbd8ddc9e6fe1cacb53541501
high,14,7,f858_historical_rng_aligned,C:\Users\Asus\PycharmProjects\UNCERTAIN_EPC_RL_V3\revision_outputs\revision_v8_historical_eval_aligned_window_ablation\rng_snapshots\high_pre_decoupled_eval_rng.pkl,16.594223992918224,0.022778807081342948,572.4918212890625,3375816.0,527.86572265625,42725.56640625,4.77412990662895,1.5632117388218583,False,13.359569977899024,3,9b580ae0bc45724b04d128f0fdb27f4fae56dab449c836fa44f29e93046d7dfa,be7de516b96323cbcbb9766ddc8eb0f6a1e5ec02bf6a0b0cf4761dc48b6a4cd3,631cf9dc2fd297d503022cb939793429663b550dbd8ddc9e6fe1cacb53541501
high,14,8,f858_historical_rng_aligned,C:\Users\Asus\PycharmProjects\UNCERTAIN_EPC_RL_V3\revision_outputs\revision_v8_historical_eval_aligned_window_ablation\rng_snapshots\high_pre_decoupled_eval_rng.pkl,16.46177262382262,0.02526108538205454,649.0570068359375,3672951.5,587.7279663085938,46499.62109375,5.2215729224473035,1.6527986826442742,False,13.359569977899024,3,9b580ae0bc45724b04d128f0fdb27f4fae56dab449c836fa44f29e93046d7dfa,be7de516b96323cbcbb9766ddc8eb0f6a1e5ec02bf6a0b0cf4761dc48b6a4cd3,631cf9dc2fd297d503022cb939793429663b550dbd8ddc9e6fe1cacb53541501
high,14,9,f858_historical_rng_aligned,C:\Users\Asus\PycharmProjects\UNCERTAIN_EPC_RL_V3\revision_outputs\revision_v8_historical_eval_aligned_window_ablation\rng_snapshots\high_pre_decoupled_eval_rng.pkl,15.41342416123231,0.026899553935568365,596.7850341796875,3371637.0,550.5003051757812,42695.9609375,4.790641442948436,1.5666643153901552,False,13.359569977899024,3,9b580ae0bc45724b04d128f0fdb27f4fae56dab449c836fa44f29e93046d7dfa,be7de516b96323cbcbb9766ddc8eb0f6a1e5ec02bf6a0b0cf4761dc48b6a4cd3,631cf9dc2fd297d503022cb939793429663b550dbd8ddc9e6fe1cacb53541501
