Wall time,Step,Value
1725368020.7183597,12000,-378.50494384765625
1725368042.6057057,24000,-377.94140625
1725368064.3189445,36000,-356.73779296875
1725368086.1553898,48000,-416.72149658203125
1725368107.8876417,60000,-384.4682312011719
1725368130.650692,72000,-352.60400390625
1725368152.8508313,84000,-412.89813232421875
1725368174.627685,96000,-392.6625061035156
1725368196.6758666,108000,-419.1119689941406
1725368219.8650231,120000,-362.02587890625
1725368242.2606244,132000,-367.4690856933594
1725368265.2095165,144000,-375.98516845703125
1725368287.3677137,156000,-399.4413146972656
1725368310.310099,168000,-437.500732421875
1725368332.9017575,180000,-430.0108642578125
1725368355.0333173,192000,-394.3330078125
1725368376.944902,204000,-387.35357666015625
1725368399.1731243,216000,-399.10076904296875
1725368421.2672741,228000,-366.15802001953125
1725368443.4542632,240000,-372.5799865722656
1725368466.1517627,252000,-353.9429931640625
1725368488.5528326,264000,-390.666259765625
1725368511.2911239,276000,-306.96417236328125
1725368534.276309,288000,-343.60906982421875
1725368556.5959346,300000,-288.12835693359375
1725368578.8261433,312000,-274.7861328125
1725368600.895439,324000,-279.61187744140625
1725368623.2192073,336000,-220.70069885253906
1725368645.537573,348000,-265.6336669921875
1725368668.1045458,360000,-251.82020568847656
1725368690.9131584,372000,-240.07481384277344
1725368713.9218738,384000,-197.9943084716797
1725368737.1049507,396000,-176.4830322265625
1725368760.3013668,408000,-182.0811767578125
1725368783.7070878,420000,-165.43917846679688
1725368807.1324928,432000,-153.21511840820312
1725368830.7752786,444000,-142.955322265625
1725368854.4409664,456000,-140.77615356445312
1725368878.3832655,468000,-153.00119018554688
1725368901.8617957,480000,-126.5552978515625
1725368926.327322,492000,-130.99395751953125
1725368950.341753,504000,-140.59710693359375
1725368973.2099457,516000,-164.10421752929688
1725368996.5991786,528000,-153.06149291992188
1725369020.4416602,540000,-136.5831756591797
1725369043.259037,552000,-135.59384155273438
1725369065.986963,564000,-132.98568725585938
1725369088.6658158,576000,-132.69198608398438
1725369111.0503561,588000,-114.21163940429688
1725369134.1599185,600000,-130.78683471679688
1725369156.1234848,612000,-97.12353515625
1725369179.588414,624000,-102.39348602294922
1725369202.2540753,636000,-112.05097961425781
1725369226.2138972,648000,-103.02468872070312
1725369248.4529178,660000,-128.726318359375
1725369270.6051052,672000,-105.89237976074219
1725369293.001452,684000,-144.90785217285156
1725369315.681187,696000,-126.71729278564453
1725369340.1843674,708000,-144.0806884765625
1725369362.165467,720000,-118.55988311767578
1725369384.4573069,732000,-107.591796875
1725369409.8632839,744000,-112.4097671508789
1725369432.6157215,756000,-107.98851013183594
1725369457.325662,768000,-96.31446838378906
1725369479.6331155,780000,-86.83102416992188
1725369502.4804335,792000,-92.3610610961914
1725369524.6826434,804000,-92.56671905517578
1725369546.8270102,816000,-98.14874267578125
1725369569.0543523,828000,-112.55879211425781
1725369591.5766933,840000,-88.36073303222656
1725369614.4281616,852000,-93.32276916503906
1725369636.7794998,864000,-84.1019058227539
1725369658.9146347,876000,-95.73963928222656
1725369682.0839858,888000,-89.98059844970703
1725369704.6788821,900000,-84.18697357177734
1725369727.332545,912000,-88.57572937011719
1725369750.1718147,924000,-79.72297668457031
1725369772.6914458,936000,-85.20170593261719
1725369795.7089188,948000,-77.76344299316406
1725369817.8397675,960000,-78.52702331542969
1725369841.229386,972000,-88.73868560791016
1725369864.113785,984000,-83.92567443847656
1725369886.686096,996000,-90.77751159667969
1725369908.8842537,1008000,-80.06884765625
1725369931.055268,1020000,-76.52702331542969
1725369954.433327,1032000,-80.32205200195312
1725369977.384255,1044000,-78.68243408203125
1725369999.9985664,1056000,-80.0
1725370022.300349,1068000,-81.27178192138672
1725370044.619921,1080000,-81.6129379272461
1725370066.6205754,1092000,-79.54054260253906
1725370091.9921992,1104000,-79.75675201416016
1725370114.3459806,1116000,-82.3040542602539
1725370137.373151,1128000,-81.3648681640625
1725370159.73877,1140000,-81.1351318359375
1725370182.4885097,1152000,-81.53263854980469
1725370205.2230175,1164000,-80.93976593017578
1725370227.3949645,1176000,-79.09844207763672
1725370249.6809015,1188000,-79.75
1725370271.9234984,1200000,-80.62162017822266
