Wall time,Step,Value
1726749164.9537284,12000,-393.4706726074219
1726749184.2189772,24000,-380.06640625
1726749202.7322295,36000,-398.49041748046875
1726749221.1718323,48000,-404.5957336425781
1726749239.718725,60000,-401.5410461425781
1726749258.5907369,72000,-371.5354309082031
1726749277.149349,84000,-379.4859619140625
1726749295.6732655,96000,-408.6415710449219
1726749314.754655,108000,-360.4062805175781
1726749334.1621683,120000,-410.17352294921875
1726749352.9921207,132000,-405.34124755859375
1726749371.3825552,144000,-378.92401123046875
1726749390.9138422,156000,-409.4120788574219
1726749409.6863148,168000,-414.5868835449219
1726749428.374499,180000,-412.4251708984375
1726749448.8521779,192000,-423.18109130859375
1726749468.3089,204000,-386.3050537109375
1726749488.4198506,216000,-331.1033630371094
1726749507.499791,228000,-399.31085205078125
1726749525.927664,240000,-385.05316162109375
1726749544.315159,252000,-407.13153076171875
1726749563.8127666,264000,-384.7090148925781
1726749582.4490502,276000,-337.2801208496094
1726749601.824627,288000,-365.6010437011719
1726749620.5764341,300000,-357.70733642578125
1726749639.6663852,312000,-322.8233947753906
1726749659.1417625,324000,-288.1735534667969
1726749679.129611,336000,-255.98568725585938
1726749697.7899845,348000,-234.63900756835938
1726749717.3490548,360000,-209.24179077148438
1726749737.2576983,372000,-198.73309326171875
1726749755.7681088,384000,-180.2689666748047
1726749775.349851,396000,-160.49057006835938
1726749794.7077155,408000,-161.08961486816406
1726749813.192979,420000,-165.78106689453125
1726749831.4714718,432000,-134.15333557128906
1726749851.66758,444000,-138.36221313476562
1726749871.3041277,456000,-138.03045654296875
1726749890.509417,468000,-126.16276550292969
1726749908.984696,480000,-119.33479309082031
1726749927.4984255,492000,-110.03936767578125
1726749946.2360115,504000,-102.21817016601562
1726749964.7633286,516000,-95.05429077148438
1726749983.5204692,528000,-97.29984283447266
1726750002.0190277,540000,-99.33602905273438
1726750020.8921833,552000,-96.29906463623047
1726750039.4658809,564000,-93.93559265136719
1726750058.8329537,576000,-99.32479858398438
1726750077.6015558,588000,-103.47063446044922
1726750098.873569,600000,-91.68219757080078
1726750119.1645713,612000,-86.71924591064453
1726750137.972739,624000,-87.64253997802734
1726750156.428084,636000,-84.24439239501953
1726750175.3664875,648000,-85.61930847167969
1726750195.0955236,660000,-80.62094116210938
1726750214.9458702,672000,-75.97632598876953
1726750234.3625283,684000,-78.27600860595703
1726750253.0431597,696000,-79.84203338623047
1726750272.5595067,708000,-68.80459594726562
1726750291.915475,720000,-72.77743530273438
1726750311.0251427,732000,-64.89220428466797
1726750330.159832,744000,-63.03849792480469
1726750349.3834858,756000,-66.6517333984375
1726750368.7486343,768000,-59.547157287597656
1726750387.495997,780000,-61.76065444946289
1726750405.8697586,792000,-57.310821533203125
1726750424.111108,804000,-59.459468841552734
1726750442.717313,816000,-57.75675964355469
1726750461.8289392,828000,-60.513511657714844
1726750480.4937496,840000,-59.97296905517578
1726750499.046188,852000,-58.445953369140625
1726750517.8956218,864000,-57.270267486572266
1726750536.798855,876000,-56.486488342285156
1726750556.4530118,888000,-53.66216278076172
1726750575.0625954,900000,-56.864864349365234
1726750593.5433197,912000,-56.79729461669922
1726750612.6458862,924000,-57.91891098022461
1726750631.7263224,936000,-58.81081008911133
1726750650.2468848,948000,-62.270267486572266
1726750668.5655608,960000,-60.851356506347656
1726750686.8738716,972000,-62.8648681640625
1726750705.1144428,984000,-63.351356506347656
1726750723.5847597,996000,-62.729732513427734
1726750742.1112826,1008000,-61.000003814697266
1726750764.2420855,1020000,-60.33783721923828
1726750783.5284362,1032000,-61.770267486572266
1726750801.7702854,1044000,-63.121620178222656
1726750820.125396,1056000,-61.945953369140625
1726750839.1680162,1068000,-62.97297668457031
1726750857.8329215,1080000,-60.83783721923828
1726750876.7705371,1092000,-61.675662994384766
1726750896.556296,1104000,-59.081085205078125
1726750916.2543178,1116000,-56.459468841552734
1726750935.5138118,1128000,-57.675662994384766
1726750953.864905,1140000,-57.635135650634766
1726750973.7276866,1152000,-56.1351318359375
1726750992.0622637,1164000,-55.689178466796875
1726751010.3190296,1176000,-54.918914794921875
1726751029.5971372,1188000,-55.770267486572266
1726751049.242295,1200000,-57.310821533203125
